Title,URL,Author,Price
Rise of the Robots: Technology and the Threat of a Jobless Future,https://www.amazon.com/Rise-Robots-Technology-Threat-Jobless/dp/0465097537/ref=sr_1_3/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-3&keywords=automation,by Martin Ford,"$ 11 55 "
Network Programmability and Automation: Skills for the Next-Generation Network Engineer,https://www.amazon.com/Network-Programmability-Automation-Next-Generation-Engineer/dp/1491931256/ref=sr_1_4/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-4&keywords=automation,by Jason Edelman and Scott S. Lowe,"$ 33 70 "
Automation Made Easy: Everything You Wanted to Know about Automation-and Need to Ask,https://www.amazon.com/Automation-Made-Easy-Everything-Automation/dp/1936007061/ref=sr_1_5/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-5&keywords=automation,by Peter G. Martin and Gregory Hale,"$ 67 15 "
"The Future of Leadership: Rise of Automation, Robotics and Artificial Intelligence",https://www.amazon.com/Future-Leadership-Automation-Artificial-Intelligence/dp/9769609218/ref=sr_1_6/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-6&keywords=automation,by Brigette Tasha Hyacinth,"$ 22 00 "
Industrial Automation: Hands On,https://www.amazon.com/Industrial-Automation-Hands-Frank-Lamb/dp/0071816453/ref=sr_1_7/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-7&keywords=automation,by Frank Lamb,"$ 95 97 "
"Automation, Production Systems, and Computer-Integrated Manufacturing (4th Edition)",https://www.amazon.com/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/0133499618/ref=sr_1_10/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-10&keywords=automation,by Mikell P. Groover,"$ 64 24 "
"The Future of Work: Robots, AI, and Automation",https://www.amazon.com/Future-Work-Robots-AI-Automation/dp/0815732937/ref=sr_1_11/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-11&keywords=automation,by Darrell M. West,"$ 15 90 "
Scenic Automation Handbook,https://www.amazon.com/Scenic-Automation-Handbook-Gareth-Conner/dp/1138850276/ref=sr_1_12/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-12&keywords=automation,by Gareth Conner,"$ 61 70 "
The Robot and Automation Almanac - 2018: The Futurist Institute,https://www.amazon.com/Robot-Automation-Almanac-Futurist-Institute/dp/1946197033/ref=sr_1_13/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-13&keywords=automation,by Jason Schenker,"$ 29 95 "
"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies",https://www.amazon.com/Second-Machine-Age-Prosperity-Technologies/dp/0393350649/ref=sr_1_14/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-14&keywords=automation,by Erik Brynjolfsson and Andrew McAfee,"$ 14 04 "
Marketing Automation For Dummies (For Dummies Series),https://www.amazon.com/Marketing-Automation-Dummies-Mathew-Sweezey/dp/1118772229/ref=sr_1_15/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-15&keywords=automation,by Mathew Sweezey,
,,,"$ 0 00 "
,,,"$ 0 00 "
The Industries of the Future,https://www.amazon.com/Industries-Future-Alec-Ross-ebook/dp/B00UDCNJYO/ref=sr_1_16/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-16&keywords=automation,by Alec Ross,"$ 15 22 "
The Automation: Vol. 1 of the Circo del Herrero Series (Volume 1),https://www.amazon.com/Automation-Vol-Circo-del-Herrero/dp/0692259716/ref=sr_1_17/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-17&keywords=automation,by Anonymous and B.L.A.,"$ 11 86 "
,,,"$ 10 99 "
Building Automation Systems A To Z: How To Survive In A World Full Of Bas,https://www.amazon.com/Building-Automation-Systems-Survive-World/dp/1539914488/ref=sr_1_19/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-19&keywords=automation,by Phil Zito,"$ 149 99 "
Industrial Automated Systems: Instrumentation and Motion Control,https://www.amazon.com/Industrial-Automated-Systems-Instrumentation-Control/dp/1435488881/ref=sr_1_20/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-20&keywords=automation,by Terry L.M. Bartelt,"$ 116 63 "
Automation Airmanship: Nine Principles for Operating Glass Cockpit Aircraft,https://www.amazon.com/Automation-Airmanship-Principles-Operating-Aircraft/dp/0071815864/ref=sr_1_21/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-21&keywords=automation,by Christopher Lutat and S. Ryan Swah,"$ 66 22 "
Microsoft Azure Essentials Azure Automation,https://www.amazon.com/Microsoft-Azure-Essentials-Automation-ebook/dp/B00WL2734G/ref=sr_1_22/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-22&keywords=automation,by Michael McKeown,"$ 0 00 "
The Efficiency Paradox: What Big Data Can't Do,https://www.amazon.com/Efficiency-Paradox-What-Data-Cant-ebook/dp/B07465FLY4/ref=sr_1_23/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-23&keywords=automation,by Edward Tenner,"$ 17 84 "
,,,"$ 39 99 "
Introduction to Industrial Automation,https://www.amazon.com/Introduction-Industrial-Automation-Stamatios-Manesis/dp/1498705405/ref=sr_1_25/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-25&keywords=automation,by Stamatios Manesis and George Nikolakopoulos,"$ 106 60 "
Test Automation using Selenium WebDriver with Java: Step by Step Guide,https://www.amazon.com/Test-Automation-using-Selenium-WebDriver/dp/0992293510/ref=sr_1_26/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-26&keywords=automation,by Mr Navneesh Garg,"$ 43 00 "
,,,"$ 8 99 "
,,,"$ 8 99 "
Automation Testing with UFT: A Beginner's Guide,https://www.amazon.com/Automation-Testing-UFT-Beginners-Guide/dp/1499324308/ref=sr_1_28?s=books&ie=UTF8&qid=1525853573&sr=1-28&keywords=automation,by Mr Sagar Salunke,"$ 15 00 "
Experiences of Test Automation: Case Studies of Software Test Automation,https://www.amazon.com/Experiences-Test-Automation-Studies-Software/dp/0321754069/ref=sr_1_29?s=books&ie=UTF8&qid=1525853573&sr=1-29&keywords=automation,by Dorothy Graham and Mark Fewster,"$ 50 95 "
Building Automation: Control Devices and Applications,https://www.amazon.com/Building-Automation-Control-Devices-Applications/dp/0826920004/ref=sr_1_30?s=books&ie=UTF8&qid=1525853573&sr=1-30&keywords=automation,by In Partnership with NJATC,
"Smart Home: Digital Assistants, Home Automation, and the Internet of Things",https://www.amazon.com/Smart-Home-Assistants-Automation-Internet/dp/1980952337/ref=sr_1_31?s=books&ie=UTF8&qid=1525853573&sr=1-31&keywords=automation,by Michael Stanton Young,"$ 19 95 "
,,,"$ 37 12 "
,,,"$ 54 99 "
Test Automation in the Real World: Practical Lessons for Automated Testing,https://www.amazon.com/Test-Automation-Real-World-Practical/dp/1520745923/ref=sr_1_34?s=books&ie=UTF8&qid=1525853573&sr=1-34&keywords=automation,by Greg Paskal,"$ 19 99 "
Test Automation Engineer: Guide to the ISTQB Advanced Level Certification,https://www.amazon.com/Test-Automation-Engineer-Advanced-Certification/dp/1937538087/ref=sr_1_35?s=books&ie=UTF8&qid=1525853573&sr=1-35&keywords=automation,by Andrew Pollner and Mark Fewster,"$ 43 62 "
